id,name,legal_name,website,headquarters_city,founded_year,employee_count,annual_revenue_usd,financing_volume_usd,market_share_percentage,business_model,financing_types,credit_requirements,avg_approval_rate,avg_interest_rate,max_financing_amount_usd,avg_term_months,status,created_at,updated_at
3ec2dd4e-c44a-4783-a804-d8f671dce664,WesBank,WesBank (Division of FirstRand Bank Limited),https://www.wesbank.co.za,,,,,,,,,,,,,,,,
50c8da67-f079-45f7-b9c2-c3a0e7a79b03,Capfin,Capfin (Pty) Ltd,https://www.capfin.co.za,,,,,,,,,,,,,,,,
03f9d6ab-27d3-46aa-92ec-22493f11e410,Discovery Bank Limited,Discovery Bank Limited,https://www.discovery.co.za,,,,,,,,,,,,,,,,
2a6c7a7c-a0bd-43ab-bd5c-f5a5bd67081e,Melon Mobile,Melon Mobile (Pty) Ltd,https://www.melonmobile.co.za,,,,,,,,,,,,,,,,
8932309a-3712-4c58-910e-5b171b54cb41,22seven,22seven (Pty) Ltd,https://www.22seven.com,,,,,,,,,,,,,,,,
cd312ec9-897b-4900-b2b4-bd76f0cc44e0,African Bank Limited,African Bank Limited,https://www.africanbank.co.za,,,,,,,,,,,,,,,,
42e9f458-4c12-4b51-bade-720bcffae517,Albaraka Bank South Africa,Albaraka Bank Ltd,https://www.albaraka.co.za,,,,,,,,,,,,,,,,
75d90448-f2c7-413f-adc4-a8dcb43e5acf,Wonga South Africa,Wonga.com South Africa (Pty) Ltd,https://www.wonga.co.za,,,,,,,,,,,,,,,,
7b9d780e-2259-4fb8-b763-1e748e2db3dd,Finbond Mutual Bank,Finbond Mutual Bank,https://www.finbond.co.za,,,,,,,,,,,,,,,,
f5120552-e15f-43fa-9c3d-f031a9d3b667,House & Home,House & Home (Pty) Ltd,https://www.houseandhome.co.za,,,,,,,,,,,,,,,,
5afe5f4d-c92a-4338-bb67-47602d6435b7,Jet Stores,Jet Stores (Pty) Ltd,https://www.jetstores.co.za,,,,,,,,,,,,,,,,
05e36337-b1ea-4715-bc3c-6ce46a7c6089,Peach Payments,Peach Payments (Pty) Ltd,https://www.peachpayments.com,,,,,,,,,,,,,,,,
8e5c8fdd-4a24-4881-8c06-5aa24670a184,Purple Capital Limited,Purple Capital Limited,https://www.purplecapital.co.za,,,,,,,,,,,,,,,,
0a72f720-6e84-430c-82b4-404865008b2a,EziMobil,EziMobil,https://ezimobi.africa,,,,,,,,,,,,,,,,
a99ffdd7-8d37-41ca-83ba-0e7e8718c471,4Months,4Months,https://4months.co.za,,,,,,,,,,,,,,,,
